Helység megnevezése,KSH kódja,jogállása,Megye megnevezése,Járás kódja,Járás neve,Járás székhelye,Közös önkormányzati hivatal kódja,Közös önkormányzati hivatal székhelye,Terület  (hektár),Lakó-népesség,Lakások száma
Aba,17376,város,Fejér,850.0,Székesfehérvári,Székesfehérvár,1,–,8805,4424,1546
Abádszalók,12441,város,Jász-Nagykun-Szolnok,1640.0,Kunhegyesi,Kunhegyes,2,Helyben – Locally,13223,4160,2038
Abaliget,12548,község,Baranya,280.0,Pécsi,Pécs,5,Orfű,1609,649,241
Abasár,24554,község,Heves,1060.0,Gyöngyösi,Gyöngyös,1,–,2082,2493,1188
Abaújalpár,15662,község,Borsod-Abaúj-Zemplén,570.0,Gönci,Gönc,6,Boldogkőváralja,848,59,58
Abaújkér,26718,község,Borsod-Abaúj-Zemplén,570.0,Gönci,Gönc,6,Boldogkőváralja,1728,609,291
Abaújlak,2820,község,Borsod-Abaúj-Zemplén,670.0,Szikszói,Szikszó,6,Selyeb,706,70,81
Abaújszántó,3595,város,Borsod-Abaúj-Zemplén,570.0,Gönci,Gönc,2,Helyben – Locally,4739,3021,1213
Abaújszolnok,26338,község,Borsod-Abaúj-Zemplén,670.0,Szikszói,Szikszó,6,Selyeb,866,169,59
Abaújvár,2273,község,Borsod-Abaúj-Zemplén,570.0,Gönci,Gönc,5,Gönc,735,256,140
Abda,11882,község,Győr-Moson-Sopron,870.0,Győri,Győr,2,Helyben – Locally,1902,3138,1150
Abod,10357,község,Borsod-Abaúj-Zemplén,550.0,Edelényi,Edelény,5,Edelény,3116,213,137
Abony,27872,város,Pest,1240.0,Ceglédi,Cegléd,1,–,12797,14508,6011
Ábrahámhegy,4561,község,Veszprém,1890.0,Tapolcai,Tapolca,6,Badacsonytomaj,1488,423,304
Ács,4428,város,Komárom-Esztergom,1120.0,Komáromi,Komárom,1,–,10383,6793,2724
Acsa,18573,község,Pest,1380.0,Váci,Vác,2,Helyben – Locally,2694,1381,480
Acsád,7214,község,Vas,1810.0,Szombathelyi,Szombathely,6,Nemesbőd,1434,677,183
Acsalag,33385,község,Győr-Moson-Sopron,860.0,Csornai,Csorna,6,Farád,1042,485,220
Ácsteszér,18139,község,Komárom-Esztergom,1110.0,Kisbéri,Kisbér,6,Bakonyszombathely,1771,691,277
Adács,23241,község,Heves,1060.0,Gyöngyösi,Gyöngyös,1,–,3794,2602,1222
Ádánd,6080,község,Somogy,1460.0,Siófoki,Siófok,2,Helyben – Locally,2952,2112,852
Adásztevel,7302,község,Veszprém,1870.0,Pápai,Pápa,2,Helyben – Locally,837,763,312
Adony,8925,város,Fejér,780.0,Dunaújvárosi,Dunaújváros,2,Helyben – Locally,6105,3686,1557
Adorjánháza,31307,község,Veszprém,1860.0,Devecseri,Devecser,6,Csögle,1142,354,195
Adorjás,6868,község,Baranya,300.0,Sellyei,Sellye,6,Baksa,810,190,62
Ág,25812,község,Baranya,250.0,Hegyháti,Sásd,6,Vásárosdombó,1203,192,65
Ágasegyháza,17686,község,Bács-Kiskun,380.0,Kecskeméti,Kecskemét,1,–,5587,1880,858
Ágfalva,4880,község,Győr-Moson-Sopron,910.0,Soproni,Sopron,2,Helyben – Locally,1308,2225,726
Aggtelek,9362,község,Borsod-Abaúj-Zemplén,630.0,Putnoki,Putnok,2,Helyben – Locally,4382,555,241
Agyagosszergény,29407,község,Győr-Moson-Sopron,880.0,Kapuvári,Kapuvár,6,Vitnyéd,1989,937,378
Ajak,8776,város,Szabolcs-Szatmár-Bereg,1530.0,Kisvárdai,Kisvárda,1,–,2476,3709,1332
Ajka,6673,város,Veszprém,1831.0,Ajkai,Ajka,2,Helyben – Locally,9505,28284,12570
Aka,6682,község,Komárom-Esztergom,1110.0,Kisbéri,Kisbér,6,Császár,1810,248,109
Akasztó,21944,község,Bács-Kiskun,390.0,Kiskőrösi,Kiskőrös,1,–,6488,3348,1557
Alacska,33093,község,Borsod-Abaúj-Zemplén,580.0,Kazincbarcikai,Kazincbarcika,6,Berente,856,772,281
Alap,26824,község,Fejér,840.0,Sárbogárdi,Sárbogárd,2,Helyben – Locally,4829,1885,877
Alattyán,25265,község,Jász-Nagykun-Szolnok,1610.0,Jászapáti,Jászapáti,1,–,3429,1950,911
Albertirsa,31653,város,Pest,1240.0,Ceglédi,Cegléd,2,Helyben – Locally,7296,12188,4955
Alcsútdoboz,15176,község,Fejér,770.0,Bicskei,Bicske,5,Felcsút,5071,1449,585
Aldebrő,6345,község,Heves,1050.0,Füzesabonyi,Füzesabony,5,Kápolna,2178,714,342
Algyő,34245,nagyközség,Csongrád,750.0,Szegedi,Szeged,1,–,7577,5108,2075
Alibánfa,2644,község,Zala,1970.0,Zalaegerszegi,Zalaegerszeg,6,Zalaszentiván,584,403,166
Almamellék,13329,község,Baranya,330.0,Szigetvári,Szigetvár,6,Szentlászló,4433,369,163
Almásfüzitő,32346,község,Komárom-Esztergom,1120.0,Komáromi,Komárom,1,–,819,2090,1126
Almásháza,23384,község,Zala,1970.0,Zalaegerszegi,Zalaegerszeg,6,Nagykapornak,498,76,24
Almáskamarás,29595,község,Békés,490.0,Mezőkovácsházai,Mezőkovácsháza,6,Kunágota,1471,852,450
Almáskeresztúr,20376,község,Baranya,330.0,Szigetvári,Szigetvár,5,Mozsgó,1303,81,51
Álmosd,27641,község,Hajdú-Bihar,1010.0,Nyíradonyi,Nyíradony,2,Helyben – Locally,3413,1624,701
Alsóberecki,20482,község,Borsod-Abaúj-Zemplén,650.0,Sátoraljaújhelyi,Sátoraljaújhely,6,Mikóháza,686,698,282
Alsóbogát,34184,község,Somogy,1430.0,Kaposvári,Kaposvár,6,Somogyjád,1201,238,88
Alsódobsza,19664,község,Borsod-Abaúj-Zemplén,660.0,Szerencsi,Szerencs,6,Megyaszó,1068,280,150
Alsógagy,14429,község,Borsod-Abaúj-Zemplén,560.0,Encsi,Encs,6,Szalaszend,628,80,55
Alsómocsolád,17385,község,Baranya,250.0,Hegyháti,Sásd,5,Mágocs,1300,284,140
Alsónána,29665,község,Tolna,1730.0,Szekszárdi,Szekszárd,6,Bátaszék,1314,697,280
Alsónémedi,23199,nagyközség,Pest,1290.0,Gyáli,Gyál,1,–,4907,5264,2133
Alsónemesapáti,19512,község,Zala,1970.0,Zalaegerszegi,Zalaegerszeg,5,Nagypáli,1451,660,273
Alsónyék,11563,község,Tolna,1730.0,Szekszárdi,Szekszárd,6,Bátaszék,3190,751,302
Alsóörs,30526,község,Veszprém,1850.0,Balatonfüredi,Balatonfüred,2,Helyben – Locally,3334,1653,797
Alsópáhok,32081,község,Zala,1930.0,Keszthelyi,Keszthely,2,Helyben – Locally,1802,1329,666
Alsópetény,16425,község,Nógrád,1190.0,Rétsági,Rétság,6,Nézsa,1968,567,300
Alsórajk,18829,község,Zala,1960.0,Nagykanizsai,Nagykanizsa,6,Felsőrajk,845,330,171
Alsóregmec,23223,község,Borsod-Abaúj-Zemplén,650.0,Sátoraljaújhelyi,Sátoraljaújhely,6,Mikóháza,1540,166,87
Alsószenterzsébet,8767,község,Zala,1940.0,Lenti,Lenti,6,Csesztreg,963,48,38
Alsószentiván,25283,község,Fejér,840.0,Sárbogárdi,Sárbogárd,5,Alap,3965,624,285
Alsószentmárton,33279,község,Baranya,310.0,Siklósi,Siklós,6,Siklósnagyfalu,1361,1272,296
Alsószölnök,22549,község,Vas,1800.0,Szentgotthárdi,Szentgotthárd,2,Helyben – Locally,1002,359,167
Alsószuha,28839,község,Borsod-Abaúj-Zemplén,630.0,Putnoki,Putnok,6,Ragály,2242,410,172
Alsótelekes,8217,község,Borsod-Abaúj-Zemplén,580.0,Kazincbarcikai,Kazincbarcika,6,Rudabánya,644,136,92
Alsótold,7621,község,Nógrád,1180.0,Pásztói,Pásztó,6,Szurdokpüspöki,786,230,112
Alsóújlak,22725,község,Vas,1820.0,Vasvári,Vasvár,5,Kám,2102,593,291
Alsóvadász,29814,község,Borsod-Abaúj-Zemplén,670.0,Szikszói,Szikszó,6,Aszaló,2290,1511,447
Alsózsolca,21032,város,Borsod-Abaúj-Zemplén,610.0,Miskolci,Miskolc,1,–,2602,5606,1836
Ambrózfalva,16197,község,Csongrád,730.0,Makói,Makó,5,Csanádalberti,1122,498,237
Anarcs,29975,község,Szabolcs-Szatmár-Bereg,1530.0,Kisvárdai,Kisvárda,5,Gyulaháza,1706,1992,656
Andocs,28714,község,Somogy,1470.0,Tabi,Tab,2,Helyben – Locally,4327,1076,470
Andornaktálya,17987,község,Heves,1040.0,Egri,Eger,1,–,1675,2615,1054
Andrásfa,12317,község,Vas,1820.0,Vasvári,Vasvár,5,Kám,823,243,138
Annavölgy,34227,község,Komárom-Esztergom,1100.0,Esztergomi,Esztergom,6,Csolnok,483,935,399
Apácatorna,28370,község,Veszprém,1860.0,Devecseri,Devecser,6,Tüskevár,729,163,84
Apagy,20303,község,Szabolcs-Szatmár-Bereg,1570.0,Nyíregyházi,Nyíregyháza,1,–,3203,2320,872
Apaj,33561,község,Pest,1340.0,Ráckevei,Ráckeve,6,Áporka,7104,1199,430
Aparhant,26125,község,Tolna,1700.0,Bonyhádi,Bonyhád,6,Kakasd,1797,985,386
Apátfalva,14252,község,Csongrád,730.0,Makói,Makó,1,–,5378,2900,1539
Apátistvánfalva,8873,község,Vas,1800.0,Szentgotthárdi,Szentgotthárd,6,Szentgotthárd,1286,386,164
Apátvarasd,27298,község,Baranya,290.0,Pécsváradi,Pécsvárad,6,Pécsvárad,814,124,38
Apc,7241,község,Heves,1070.0,Hatvani,Hatvan,1,–,2046,2447,1100
Áporka,10108,község,Pest,1340.0,Ráckevei,Ráckeve,2,Helyben – Locally,1747,1102,491
Apostag,21148,község,Bács-Kiskun,430.0,Kunszentmiklósi,Kunszentmiklós,2,Helyben – Locally,3194,2025,965
Aranyosapáti,9353,község,Szabolcs-Szatmár-Bereg,1590.0,Vásárosnaményi,Vásárosnamény,2,Helyben – Locally,2111,2054,675
Aranyosgadány,6886,község,Baranya,280.0,Pécsi,Pécs,6,Pellérd,826,372,138
Arka,26198,község,Borsod-Abaúj-Zemplén,570.0,Gönci,Gönc,6,Boldogkőváralja,949,52,66
Arló,14331,nagyközség,Borsod-Abaúj-Zemplén,620.0,Ózdi,Ózd,1,–,4687,3736,1120
Arnót,3771,község,Borsod-Abaúj-Zemplén,610.0,Miskolci,Miskolc,1,–,1754,2387,827
Ároktő,3823,község,Borsod-Abaúj-Zemplén,590.0,Mezőcsáti,Mezőcsát,5,Mezőcsát,4641,1106,479
Árpádhalom,19062,község,Csongrád,760.0,Szentesi,Szentes,6,Nagymágocs,4520,514,242
Árpás,32249,község,Győr-Moson-Sopron,920.0,Téti,Tét,6,Gyarmat,1426,255,129
Ártánd,3319,község,Hajdú-Bihar,940.0,Berettyóújfalui,Berettyóújfalu,6,Biharkeresztes,1982,529,248
Ásotthalom,10339,nagyközség,Csongrád,740.0,Mórahalmi,Mórahalom,1,–,12254,3895,1932
Ásványráró,26921,község,Győr-Moson-Sopron,890.0,Mosonmagyaróvári,Mosonmagyaróvár,6,Kimle,3911,1937,804
Aszaló,4233,község,Borsod-Abaúj-Zemplén,670.0,Szikszói,Szikszó,2,Helyben – Locally,2535,1835,631
Ászár,23852,község,Komárom-Esztergom,1110.0,Kisbéri,Kisbér,2,Helyben – Locally,1868,1692,674
Aszód,16188,város,Pest,1221.0,Aszódi,Aszód,1,–,1620,6160,2458
Aszófő,7339,község,Veszprém,1850.0,Balatonfüredi,Balatonfüred,6,Tihany,832,395,196
Áta,28583,község,Baranya,280.0,Pécsi,Pécs,6,Pécsudvard,809,156,90
Átány,6503,község,Heves,1080.0,Hevesi,Heves,2,Helyben – Locally,5044,1485,574
Atkár,16090,község,Heves,1060.0,Gyöngyösi,Gyöngyös,6,Visonta,3376,1716,729
Attala,32735,község,Tolna,1710.0,Dombóvári,Dombóvár,2,Helyben – Locally,2064,817,363
Babarc,5403,község,Baranya,240.0,Bólyi,Bóly,2,Helyben – Locally,1885,715,315
Babarcszőlős,9663,község,Baranya,310.0,Siklósi,Siklós,6,Diósviszló,425,108,61
Babócsa,30474,község,Somogy,1400.0,Barcsi,Barcs,2,Helyben – Locally,3099,1510,700
Bábolna,19363,város,Komárom-Esztergom,1120.0,Komáromi,Komárom,2,Helyben – Locally,3355,3840,1378
Bábonymegyer,28316,község,Somogy,1470.0,Tabi,Tab,6,Tab,2193,793,364
Babosdöbréte,21263,község,Zala,1970.0,Zalaegerszegi,Zalaegerszeg,6,Zalaszentgyörgy,1252,463,229
Babót,15042,község,Győr-Moson-Sopron,880.0,Kapuvári,Kapuvár,2,Helyben – Locally,2167,1120,475
Bácsalmás,10719,város,Bács-Kiskun,341.0,Bácsalmási,Bácsalmás,2,Helyben – Locally,10832,6496,3133
Bácsbokod,10180,nagyközség,Bács-Kiskun,340.0,Bácsalmási,Bácsalmás,1,–,6393,2499,1219
Bácsborsód,27234,község,Bács-Kiskun,340.0,Bácsalmási,Bácsalmás,6,Katymár,7752,1115,416
Bácsszentgyörgy,8697,község,Bács-Kiskun,350.0,Bajai,Baja,6,Gara,1474,150,96
Bácsszőlős,30155,község,Bács-Kiskun,340.0,Bácsalmási,Bácsalmás,6,Bácsalmás,3883,355,225
Badacsonytomaj,22327,város,Veszprém,1890.0,Tapolcai,Tapolca,2,Helyben – Locally,3271,2077,1081
Badacsonytördemic,3267,község,Veszprém,1890.0,Tapolcai,Tapolca,5,Szigliget,1025,888,451
Bag,9131,nagyközség,Pest,1220.0,Aszódi,Aszód,1,–,2355,3596,1340
Bagamér,20011,nagyközség,Hajdú-Bihar,1010.0,Nyíradonyi,Nyíradony,1,–,4702,2526,970
Baglad,11059,község,Zala,1940.0,Lenti,Lenti,6,Rédics,486,34,41
Bagod,30368,község,Zala,1970.0,Zalaegerszegi,Zalaegerszeg,2,Helyben – Locally,1637,1240,465
Bágyogszovát,28769,község,Győr-Moson-Sopron,860.0,Csornai,Csorna,2,Helyben – Locally,2406,1284,547
Baj,29212,község,Komárom-Esztergom,1140.0,Tatai,Tata,1,–,2112,2854,1068
Baja,3522,város,Bács-Kiskun,351.0,Bajai,Baja,1,–,17790,35411,16998
Bajánsenye,17020,község,Vas,1770.0,Körmendi,Körmend,6,Őriszentpéter,2185,482,243
Bajna,16744,község,Komárom-Esztergom,1100.0,Esztergomi,Esztergom,2,Helyben – Locally,3727,1899,780
Bajót,29355,község,Komárom-Esztergom,1100.0,Esztergomi,Esztergom,2,Helyben – Locally,1644,1596,559
Bak,4738,község,Zala,1970.0,Zalaegerszegi,Zalaegerszeg,2,Helyben – Locally,2305,1584,584
Bakháza,14395,község,Somogy,1450.0,Nagyatádi,Nagyatád,6,Kutas,592,179,85
Bakóca,22275,község,Baranya,250.0,Hegyháti,Sásd,6,Mindszentgodisa,1065,268,134
Bakonszeg,15167,község,Hajdú-Bihar,940.0,Berettyóújfalui,Berettyóújfalu,6,Furta,3503,1190,572
Bakonya,8299,község,Baranya,280.0,Pécsi,Pécs,6,Kővágószőlős,1507,322,142
Bakonybánk,24244,község,Komárom-Esztergom,1110.0,Kisbéri,Kisbér,6,Réde,1506,434,216
Bakonybél,23746,község,Veszprém,1920.0,Zirci,Zirc,2,Helyben – Locally,2436,1219,569
Bakonycsernye,8730,község,Fejér,820.0,Móri,Mór,2,Helyben – Locally,3813,2952,1211
Bakonygyirót,28936,község,Győr-Moson-Sopron,900.0,Pannonhalmi,Pannonhalma,6,Bakonyszentlászló,685,133,117
Bakonyjákó,29513,község,Veszprém,1870.0,Pápai,Pápa,6,Adásztevel,4718,650,258
Bakonykoppány,7287,község,Veszprém,1870.0,Pápai,Pápa,6,Ugod,683,195,116
Bakonykúti,23153,község,Fejér,850.0,Székesfehérvári,Székesfehérvár,6,Iszkaszentgyörgy,1245,139,75
Bakonynána,25991,község,Veszprém,1920.0,Zirci,Zirc,5,Bakonyszentkirály,1493,1034,381
Bakonyoszlop,30410,község,Veszprém,1920.0,Zirci,Zirc,6,Bakonyszentkirály,1420,418,206
Bakonypéterd,22062,község,Győr-Moson-Sopron,900.0,Pannonhalmi,Pannonhalma,5,Bakonyszentlászló,1002,271,126
Bakonypölöske,6327,község,Veszprém,1870.0,Pápai,Pápa,6,Pápakovácsi,1104,378,163
Bakonyság,29902,község,Veszprém,1870.0,Pápai,Pápa,6,Ugod,856,49,55
Bakonysárkány,25229,község,Komárom-Esztergom,1110.0,Kisbéri,Kisbér,5,Császár,1412,967,396
Bakonyszentiván,23922,község,Veszprém,1870.0,Pápai,Pápa,6,Pápateszér,914,221,103
Bakonyszentkirály,22813,község,Veszprém,1920.0,Zirci,Zirc,2,Helyben – Locally,2790,824,381
Bakonyszentlászló,5944,község,Győr-Moson-Sopron,900.0,Pannonhalmi,Pannonhalma,2,Helyben – Locally,3851,1758,778
Bakonyszombathely,22381,község,Komárom-Esztergom,1110.0,Kisbéri,Kisbér,2,Helyben – Locally,3652,1425,602
Bakonyszücs,26417,község,Veszprém,1870.0,Pápai,Pápa,6,Ugod,3521,299,153
Bakonytamási,24129,község,Veszprém,1870.0,Pápai,Pápa,6,Csót,2049,601,271
Baks,29106,község,Csongrád,720.0,Kisteleki,Kistelek,1,–,6192,1956,868
Baksa,3975,község,Baranya,300.0,Sellyei,Sellye,2,Helyben – Locally,1382,754,277
Baktakék,18184,község,Borsod-Abaúj-Zemplén,560.0,Encsi,Encs,6,Szalaszend,1879,731,282
Baktalórántháza,2325,város,Szabolcs-Szatmár-Bereg,1481.0,Baktalórántházai,Baktalórántháza,2,Helyben – Locally,3524,3954,1174
Baktüttös,15097,község,Zala,1970.0,Zalaegerszegi,Zalaegerszeg,6,Söjtör,971,333,144
Balajt,22521,község,Borsod-Abaúj-Zemplén,550.0,Edelényi,Edelény,6,Szendrőlád,903,489,148
Balassagyarmat,13657,város,Nógrád,1161.0,Balassagyarmati,Balassagyarmat,2,Helyben – Locally,2333,15280,6718
Balástya,23676,község,Csongrád,720.0,Kisteleki,Kistelek,1,–,11000,3445,1894
Balaton,11527,község,Heves,1030.0,Bélapátfalvai,Bélapátfalva,2,Helyben – Locally,1320,1033,447
Balatonakali,25308,község,Veszprém,1850.0,Balatonfüredi,Balatonfüred,6,Tihany,3620,624,342
Balatonakarattya,34421,község,Veszprém,1840.0,Balatonalmádi,Balatonalmádi,6,Balatonfőkajár,2139,831,468
Balatonalmádi,5838,város,Veszprém,1841.0,Balatonalmádi,Balatonalmádi,2,Helyben – Locally,4988,8564,4300
Balatonberény,27377,község,Somogy,1440.0,Marcali,Marcali,6,Balatonkeresztúr,2609,1087,651
Balatonboglár,33853,város,Somogy,1420.0,Fonyódi,Fonyód,2,Helyben – Locally,3204,5673,2799
Balatoncsicsó,3072,község,Veszprém,1850.0,Balatonfüredi,Balatonfüred,6,Zánka,1320,223,108
Balatonederics,12238,község,Veszprém,1890.0,Tapolcai,Tapolca,6,Lesencetomaj,1859,994,458
Balatonendréd,19460,község,Somogy,1460.0,Siófoki,Siófok,5,Kőröshegy,4002,1297,581
