# name, t50, t90, fluence, fluence_batse, flux_256, flux_batse_1024, pflx_best_fitting_model, pflx_best_model_redchisq
GRB120206949, 1.024, 9.472, 5.88E-06, 3.40E-06, 20.1464, 9.8607, pflx_comp, 1.238
GRB100701490, 4.992, 22.016, 2.60E-05, 8.52E-06, 35.4489, 9.8132, pflx_sbpl, 0.976
GRB140821997, 9.472, 32.513, 5.51E-05, 2.56E-05, 22.729, 9.7919, pflx_band, 0.928
GRB090620400, 3.84, 13.568, 1.33E-05, 9.18E-06, 17.6571, 9.7502, pflx_sbpl, 1.111
GRB141029134, 30.209, 202.435, 4.08E-05, 2.23E-05, 23.29, 9.6711, pflx_comp, 1.062
GRB131108862, 8.192, 18.176, 3.57E-05, 1.71E-05, 27.2744, 9.643, pflx_band, 0.992
GRB130306991, 36.609, 120.578, 1.25E-04, 6.91E-05, 36.3567, 9.6362, pflx_comp, 1.044
GRB130220964, 2.816, 6.4, 7.24E-06, 3.99E-06, 27.5273, 9.6121, pflx_comp, 1.149
GRB120625119, 2.56, 7.424, 1.02E-05, 6.10E-06, 19.9378, 9.5505, pflx_sbpl, 1.035
GRB100122616, 2.304, 22.529, 1.20E-05, 5.79E-06, 47.6903, 9.4496, pflx_comp, 1.241
GRB111003465, 7.168, 16.64, 2.10E-05, 1.21E-05, 20.4983, 9.3971, pflx_comp, 1.083
GRB130425327, 18.432, 62.209, 4.17E-05, 2.22E-05, 25.3678, 9.3607, pflx_comp, 1.01
GRB090131090, 22.272, 35.073, 1.75E-05, 8.64E-06, 55.0917, 9.2108, pflx_sbpl, 1.198
GRB090929190, 2.816, 6.174, 8.18E-06, 3.86E-06, 25.9562, 9.0886, pflx_comp, 0.931
GRB150426594, 2.304, 22.528, 1.08E-05, 6.32E-06, 28.989, 9.0839, pflx_comp, 0.922
GRB120129580, 1.536, 3.072, 5.45E-05, 2.94E-05, 206.417, 81.1571, pflx_band, 1.334
GRB140206304, 5.12, 27.264, 1.55E-05, 9.99E-06, 22.9615, 8.9997, pflx_sbpl, 0.986
GRB151227072, 1.024, 3.389, 4.83E-06, 3.01E-06, 25.8515, 8.9931, pflx_comp, 1.217
GRB131214705, 37.056, 80.065, 7.22E-05, 3.57E-05, 54.2005, 8.9699, pflx_plaw, 1.163
GRB110407998, 3.84, 9.024, 2.64E-05, 1.07E-05, 20.8297, 8.8979, pflx_comp, 0.975
GRB150817087, 12.544, 35.584, 1.17E-05, 6.55E-06, 19.8273, 8.8211, pflx_comp, 1.097
GRB120427054, 2.048, 5.632, 7.42E-06, 5.17E-06, 16.4266, 8.6744, pflx_comp, 1.061
GRB141028455, 8.192, 31.489, 3.48E-05, 1.73E-05, 19.3294, 8.6226, pflx_band, 0.956
GRB110909116, 6.4, 20.736, 4.92E-05, 4.65E-06, 765.012, 8.6113, pflx_comp, 1.087
GRB120703726, 1.536, 8.96, 8.33E-06, 4.31E-06, 18.7281, 8.6043, pflx_comp, 1.022
GRB150105257, 19.456, 73.729, 3.24E-05, 1.64E-05, 28.3601, 8.3614, pflx_sbpl, 1.022
GRB110731465, 4.352, 7.485, 2.29E-05, 1.09E-05, 26.6862, 8.3501, pflx_comp, 0.941
GRB090328401, 14.592, 61.697, 4.20E-05, 1.97E-05, 21.9527, 8.2977, pflx_comp, 1.037
GRB120624933, 112.642, 271.364, 1.92E-04, 7.64E-05, 19.7596, 8.2772, pflx_comp, 1.075
GRB141205763, 1.536, 5.437, 6.41E-06, 3.50E-06, 26.9562, 8.1015, pflx_comp, 0.957
