GRB,GRB X-ray position,Error,Instrument,redshift,adatok
170214A,17h05m19s -01° 53',4.8,Fermi,2.53,16.2901657372
170210A,07h08m32s -46° 48',197*10,IPN,NA,NA
170209A,07h08m32s -46° 48',150,Fermi,NA,NA
170208B,08h28m37s -09° 02',3,Swift,NA,NA
170208A,11h06m15s -46° 47',3,Swift,NA,NA
170206B,18h07m09s +11° 13',3,Swift,NA,NA
170206AS,14h11m10s +14° 29',51,Fermi,NA,NA
170205A,17h28m36s -00° 03',3,Swift,NA,NA
170203A,22h11m26s +25° 10',3,Swift,NA,NA
170202A,10h10m07s +05° 00',3,Swift,3.645,20.9785165622
170131A,22h45m55s +64° 00',3,Swift,NA,NA
170127C,22h37m19s -63° 56',24,Fermi,NA,NA
170127BS,01h19m47s -30° 20',3,Swift,NA,NA
170127A,11h37m21s -45° 51',3,Swift,NA,NA
170126A,17h34m19s -64° 45',3,Swift,NA,NA
170121B,04h50m18s -09° 16',107,Fermi,NA,NA
170117A,04h06m21s +21° 45',3,Swift,NA,NA
170115B,12h36m29s -46° 51',16,Fermi,NA,NA
170115A,22h08m37s +13° 47',3,Swift,NA,NA
170113A,04h06m36s -71° 55',3,Swift,1.968,13.7124835962
170112AS,01h00m56s -17° 11',3,Swift,NA,NA
170111A,01h22m52s -32° 32',3,Swift,NA,NA
170101A,17h48m25s +11° 39',3,Swift,NA,NA
161224A,13h39m18s -18° 02',3,Swift,NA,NA
161223A,17h19m31s -25° 01',3,Swift,NA,NA
161220A,23h23m16s -47° 30',3,Swift,NA,NA
161219B,06h06m52s -26° 47',3,Swift,0.1475,3.6820386192
161219A,12h33m45s +10° 28',3.2,INTEGRAL,NA,NA
161218A,16h21m02s -04° 07',3,Swift,NA,NA
161217A,10h02m33s +52° 23',3,Swift,NA,NA
161214B,00h15m24s +07° 21',3,Swift,NA,NA
161214A,12h42m55s +06° 50',3.2,INTEGRAL,NA,NA
161202A,23h47m35s +19° 38',3,Swift,NA,NA
161129A,21h04m46s +32° 07',3,Swift,0.645,6.0380322658
161123A,02h08m51s -39° 39',60,MAXI,NA,NA
161117B,19h55m25s -67° 42',3,Swift,NA,NA
161117A,21h28m17s -29° 38',3,Swift,1.549,10.7745607814
161113A,11h59m20s -05° 21',3,Swift,NA,NA
